src_event_index,src_id,src_text,src_semantic_rep,src_file_name,src_class,src_type,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_fillable_neighbor,src_neighbors,src_label,src_activity,src_atm_neighbor,src_app,target_event_index,target_id,target_text,target_semantic_rep,target_file_name,target_class,target_type,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_fillable_neighbor,target_neighbors,target_label,target_activity,target_atm_neighbor,target_app
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,,,details% Fid% Dcom.tech.news,,android.view.View,clickable,detail fid dcom tech news,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,,,Follow the latest tech news,,android.view.View,clickable,follow late tech news,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,2.0,,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,new application specially design forthose interested technology news,,,,,,wrong,input activity,,Expense2-Expense3
2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense2,3.0,do,do,Done,,android.widget.Button,clickable,,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,3.0,do,do,Done,,android.widget.Button,clickable,,,,,,,correct,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,image button,,plusbutton imageButton,plusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,,,Open navigation drawer,,android.widget.ImageButton,clickable,open navigation drawer,,,,,,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,view,today budget,TODAYS BUDGET,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,current money,,$ 0.00 TODAYS BUDGET,,android.widget.TextView,label,,,,today budget,,today budget,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,view,daily amount,DAILY AMOUNT:,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,daily amount,,daily_amount DAILY AMOUNT:,,android.widget.TextView,label,,,,daily amount,,daily amount,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,0.0,image button,,minusbutton imageButton,minusbutton,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1.0,input amount,amount,Amount,,android.widget.EditText,fillable,,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1.0,input note,note optional,Note (Optional),,android.widget.EditText,fillable,,,,amount,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,1.0,do,do,Done,,android.widget.Button,clickable,,,,note optional,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2.0,,test ad,Test Ad,,android.widget.TextView,label,,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2.0,,,details% Fid% Dcom.tech.news,,android.view.View,clickable,detail fid dcom tech news,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2.0,,,tech news,,android.view.View,clickable,tech news,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2.0,,,Follow the latest tech news,,android.view.View,clickable,follow late tech news,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,2.0,,,- A new application specially designed forthose interested in technology news.,,android.view.View,clickable,new application specially design forthose interested technology news,,,,,,wrong,input activity,,Expense2-Expense3
3.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense2,3.0,input note,,Note (Optional),,android.widget.EditText,fillable,,,,amount,note optional,,wrong,input activity,,Expense2-Expense3
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,correct,main activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0.0,,,More options,,android.widget.ImageView,clickable,option,,,,,,wrong,main activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0.0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,0.0,total month,,$0.00,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,,Money,,android.widget.ImageView,label,money,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,,Description,,android.widget.ImageView,label,description,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,,Date,,android.widget.ImageView,label,date,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,,food,Food,,android.widget.TextView,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,1.0,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
0.0,btn add income,add income,Add income,,android.widget.Button,clickable,,,,,,,correct,activity record main,,Expense4,3.0,expense description,gra,Add a description,,android.widget.EditText,fillable,,,,,add description,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,correct,expense activity,money,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0.0,,,More options,,android.widget.ImageView,clickable,option,,,,,,wrong,main activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0.0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,0.0,total month,,$0.00,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,,,Money,,android.widget.ImageView,label,money,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,,,Description,,android.widget.ImageView,label,description,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,,,Date,,android.widget.ImageView,label,date,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
2.0,et price,,et_price,,android.widget.EditText,fillable,,,price,,,,correct,activity record add,date,Expense4,1.0,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,2.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,add description,,correct,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0.0,,,More options,,android.widget.ImageView,clickable,option,,,,,,wrong,main activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0.0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,0.0,total month,,$0.00,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,,,Money,,android.widget.ImageView,label,money,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,,,Description,,android.widget.ImageView,label,description,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,,,Date,,android.widget.ImageView,label,date,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
4.0,et title,,et_title,,android.widget.EditText,fillable,,,title,,,,correct,activity record add,,Expense4,1.0,save expense,save,Save,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,3.0,save expense,save,Save,,android.widget.Button,clickable,,,,,,,correct,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0.0,fab,,ic_add,ic add,android.widget.ImageButton,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0.0,,,More options,,android.widget.ImageView,clickable,option,,,,,,wrong,main activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0.0,total month description,total month expense,Total of month expenses,,android.widget.TextView,label,,,,,,,wrong,main activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,0.0,total month,,$0.00,,android.widget.Button,clickable,,,,,,,wrong,main activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,expense value,,expense_value,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,money,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,expense,Expenses,,android.widget.TextView,label,,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,,Navigate up,,android.widget.ImageButton,clickable,navigate,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,,Money,,android.widget.ImageView,label,money,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,,Description,,android.widget.ImageView,label,description,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,expense description,add description,Add a description,,android.widget.EditText,fillable,,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,,Date,,android.widget.ImageView,label,date,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,date picker,,10-21-2020,,android.widget.Button,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,1.0,,food,Food,,android.widget.TextView,clickable,,,,,,,wrong,expense activity,,Expense4-Expense2
6.0,action do,,Add action_done,,android.widget.TextView,clickable,add,,,,,,correct,activity record add,,Expense4,3.0,expense description,gra,Add a description,,android.widget.EditText,fillable,,,,,add description,,wrong,expense activity,,Expense4-Expense2
